monitorID,longitude,latitude,elevation,timezone,countryCode,stateCode,siteName,agencyName,countyName,msaName,monitorType,siteID,instrumentID,aqsID,pwfslID,pwfslDataIngestSource,telemetryAggregator,telemetryUnitID
300290049_01,-114.189272,48.363694,NA,America/Denver,US,MT,Columbia Falls,Montana DEQ,Flathead,NA,NA,300290049,01,300290049,NA,AIRNOW,NA,NA
060610004_01,-120.9528,39.1003,NA,America/Los_Angeles,US,CA,Colfax,Placer County APCD,Placer,"Sacramento--Arden-Arcade--Roseville, CA",NA,060610004,01,060610004,NA,AIRNOW,NA,NA
840460130004_01,-98.494061,45.468596,395,America/Chicago,US,SD,Aberdeen,South Dakota Department of Environment and Natural Resources,Brown,NA,NA,840460130004,01,840460130004,NA,AIRNOW,NA,NA
000040104_01,-66.645236,45.957289,NA,America/Moncton,CA,NB,FREDERICTON-NEEDHAM ST.,Environment Canada,New Brunswick,NA,NA,000040104,01,000040104,NA,AIRNOW,NA,NA
490130002_01,-110.009,40.2943,NA,America/Denver,US,UT,Roosvelt,Utah Department of Environmental Quality,Duchesne,NA,NA,490130002,01,490130002,NA,AIRNOW,NA,NA
840MM0779999_01,-120.496819,46.558085,NA,America/Los_Angeles,US,WA,Mobile-Yakima,Washington Department of Ecology,077,NA,NA,840MM0779999,01,840MM0779999,NA,AIRNOW,NA,NA
410292129_01,-122.880266,42.33155,NA,America/Los_Angeles,US,OR,Medford Welch & Jackson,Oregon Dept. of Environmental Quality,Jackson,NA,NA,410292129,01,410292129,NA,AIRNOW,NA,NA
060311004_01,-119.6436,36.3144,NA,America/Los_Angeles,US,CA,Hanford - S. Irwin Street,San Joaquin Valley Unified APCD,Kings,"Hanford-Corcoran, CA",NA,060311004,01,060311004,NA,AIRNOW,NA,NA
211451024_01,-88.5725,37.0581,NA,America/Chicago,US,KY,JPRECC,Kentucky DEP,Mc Cracken,"Paducah, KY-IL",NA,211451024,01,211451024,NA,AIRNOW,NA,NA
80011G014_01,-100.51557,21.298874,613,America/Mexico_City,MX,GJ,Estación San Luis de la Paz,Secretaría de Medio Ambiente y Ordenamiento Territorial,Guanajuato,NA,NA,80011G014,01,80011G014,NA,AIRNOW,NA,NA
160650002_01,-111.800475,43.809486,NA,America/Boise,US,ID,Rexburg PM25,Idaho Department of Environmental Quality,Madison,NA,NA,160650002,01,160650002,NA,AIRNOW,NA,NA
